Manifold,Dimension,Opt_EPS,n_clusters,Sil_Coef
Hypersphere,16.0,0.25894999999999996,5.0,-0.237150177359581
Hypersphere,17.0,0.31864999999999993,5.0,-0.2228773832321167
Hypersphere,18.0,0.27885,5.0,-0.2840156555175781
Hypersphere,19.0,0.25894999999999996,5.0,-0.20398585498332977
Hypersphere,20.0,0.25894999999999996,5.0,-0.1307300180196762
Hypersphere,21.0,0.249,5.0,-0.2115546017885208
Hypersphere,22.0,0.28879999999999995,5.0,0.19146870076656342
Hypersphere,23.0,0.05,5.0,-0.35568973422050476
Hypersphere,24.0,0.29874999999999996,5.0,-0.22285547852516174
Hypersphere,25.0,0.3087,5.0,-0.23053212463855743
Hypersphere,26.0,0.27885,5.0,-0.24235165119171143
Hypersphere,27.0,10.0,1.0,-0.24235165119171143
Hypersphere,28.0,10.0,1.0,-0.24235165119171143
Hypersphere,29.0,0.32859999999999995,5.0,-0.2284294068813324
Hypersphere,30.0,10.0,1.0,-0.2284294068813324
Hypersphere,31.0,10.0,1.0,-0.2284294068813324
Hypersphere,32.0,0.29874999999999996,5.0,-0.22659684717655182
Hypersphere,33.0,0.29874999999999996,5.0,-0.23997431993484497
Hypersphere,34.0,0.25894999999999996,5.0,-0.20467862486839294
Hypersphere,35.0,0.33854999999999996,5.0,-0.27062541246414185
Hypersphere,36.0,0.28879999999999995,5.0,-0.2013666331768036
Poincare-Halfplane,16.0,0.75645,5.0,-0.030247317627072334
Poincare-Halfplane,17.0,0.1296,5.0,-0.2592203617095947
Poincare-Halfplane,18.0,0.57735,5.0,-0.18015696108341217
Poincare-Halfplane,19.0,0.6072,5.0,0.23182176053524017
Poincare-Halfplane,20.0,0.09975,5.0,-0.2279190719127655
Poincare-Halfplane,21.0,0.67685,5.0,-0.20349043607711792
Poincare-Halfplane,22.0,0.7863,5.0,0.1020432636141777
Poincare-Halfplane,23.0,0.7365499999999999,5.0,0.4323436915874481
Poincare-Halfplane,24.0,0.7365499999999999,5.0,0.2448580265045166
Poincare-Halfplane,25.0,2.1096499999999994,5.0,-0.037086766213178635
Poincare-Halfplane,26.0,0.1495,5.0,-0.3162093460559845
Poincare-Halfplane,27.0,0.75645,5.0,0.4152318239212036
Poincare-Halfplane,28.0,0.7962499999999999,5.0,0.3836342990398407
Poincare-Halfplane,29.0,0.6868,5.0,-0.1747913658618927
Poincare-Halfplane,30.0,4.975249999999999,5.0,-0.14222176373004913
Poincare-Halfplane,31.0,0.6868,5.0,-0.15856365859508514
Poincare-Halfplane,32.0,1.045,5.0,0.41409552097320557
Poincare-Halfplane,33.0,0.7664,5.0,-0.1984735131263733
Poincare-Halfplane,34.0,0.7265999999999999,5.0,0.46856245398521423
Poincare-Halfplane,35.0,3.870799999999999,5.0,-0.031099610030651093
Poincare-Halfplane,36.0,0.77635,5.0,0.06286764144897461
Euclidean,16.0,0.23904999999999998,5.0,-0.27180007100105286
Euclidean,17.0,0.21914999999999996,5.0,-0.3283553123474121
Euclidean,18.0,0.25894999999999996,5.0,-0.21722780168056488
Euclidean,19.0,0.1694,5.0,0.5585713982582092
Euclidean,20.0,1.4031999999999998,5.0,-0.19448484480381012
Euclidean,21.0,0.27885,5.0,-0.31596702337265015
Euclidean,22.0,1.4429999999999998,5.0,-0.08451554924249649
Euclidean,23.0,0.23904999999999998,5.0,0.13733869791030884
Euclidean,24.0,0.3485,5.0,-0.4617869555950165
Euclidean,25.0,1.2241,5.0,0.22657866775989532
Euclidean,26.0,0.249,5.0,-0.2172216773033142
Euclidean,27.0,0.28879999999999995,5.0,0.38162508606910706
Euclidean,28.0,0.31864999999999993,5.0,0.30642881989479065
Euclidean,29.0,0.19924999999999998,5.0,-0.09548218548297882
Euclidean,30.0,1.73155,5.0,0.1881599724292755
Euclidean,31.0,1.4628999999999999,5.0,0.26399174332618713
Euclidean,32.0,0.25894999999999996,5.0,-0.19359898567199707
Euclidean,33.0,1.6519499999999998,5.0,0.2505531311035156
Euclidean,34.0,0.23904999999999998,5.0,0.29381728172302246
Euclidean,35.0,1.25395,5.0,0.24031785130500793
Euclidean,36.0,0.37834999999999996,5.0,-0.32502904534339905
